play_id,user_id,user_age,user_country,subscription_tier,track_id,track_name,artist_name,album_name,album_release_year,genre_primary,genre_secondary,device_type,platform,os_version,city,state_province,country,play_seconds,completed,skips,timestamp
20,U0096,39,USA,Premium,T00052,Track A013-4,Artist 13,Album A013-2,2022,Hip-Hop,Pop Rap,Tablet,iOS,17.1,San Francisco,CA,USA,233,1,0,2024-10-14 12:09:23
21,U0378,18,UK,Student,T00059,Track A015-3,Artist 15,Album A015-2,2024,Latin Pop,Reggaeton,Desktop,macOS,13.5,Edinburgh,SCT,UK,211,0,2,2024-10-16 21:19:10
22,U0096,39,USA,Premium,T00094,Track A024-2,Artist 24,Album A024-1,2020,K-Pop,Pop,Desktop,macOS,13.5,San Francisco,CA,USA,226,1,0,2024-10-31 19:38:34
23,U0065,44,Japan,Free,T00069,Track A018-1,Artist 18,Album A018-1,2017,Latin Pop,Reggaeton,Desktop,macOS,13.5,Osaka,OS,Japan,318,1,0,2024-10-11 13:47:24
24,U0217,19,Japan,Premium,T00064,Track A016-4,Artist 16,Album A016-2,2021,Latin Pop,Reggaeton,Desktop,Windows,10,Tokyo,TK,Japan,264,1,0,2024-10-16 16:09:54
25,U0561,35,India,Free,T00074,Track A019-2,Artist 19,Album A019-1,2018,Hip-Hop,Pop Rap,Mobile,Android,12,Mumbai,MH,India,271,1,0,2024-10-28 11:36:12
26,U0352,39,Brazil,Premium,T00088,Track A022-4,Artist 22,Album A022-2,2019,Bollywood,Dance,Mobile,iOS,17.5,Rio de Janeiro,RJ,Brazil,104,0,1,2024-10-03 05:31:38
27,U0017,58,India,Student,T00016,Track A004-4,Artist 4,Album A004-2,2018,Bollywood,Dance,Mobile,Android,12,Mumbai,MH,India,190,1,0,2024-10-22 10:08:07
28,U0208,47,USA,Free,T00089,Track A023-1,Artist 23,Album A023-1,2019,Latin Pop,Reggaeton,Mobile,Android,12,Austin,TX,USA,124,0,1,2024-10-15 15:41:55
29,U0096,39,USA,Premium,T00084,Track A021-4,Artist 21,Album A021-2,2017,Bollywood,Dance,Desktop,Windows,10,San Francisco,CA,USA,97,0,2,2024-10-13 03:43:28
30,U0170,42,USA,Student,T00007,Track A002-3,Artist 2,Album A002-2,2018,Bollywood,Dance,Desktop,macOS,13.5,Chicago,IL,USA,160,0,0,2024-10-31 08:52:54
31,U0440,47,USA,Free,T00084,Track A021-4,Artist 21,Album A021-2,2017,Bollywood,Dance,Mobile,iOS,17.5,San Francisco,CA,USA,37,0,0,2024-10-05 14:53:49
32,U0136,26,USA,Premium,T00076,Track A019-4,Artist 19,Album A019-2,2020,Hip-Hop,Pop Rap,Mobile,Android,12,New York,NY,USA,230,1,0,2024-10-26 05:11:47
33,U0009,53,Germany,Premium,T00090,Track A023-2,Artist 23,Album A023-1,2024,Latin Pop,Reggaeton,Desktop,Windows,10,Hamburg,HH,Germany,334,1,0,2024-10-06 20:30:06
34,U0136,26,USA,Premium,T00062,Track A016-2,Artist 16,Album A016-1,2021,Latin Pop,Reggaeton,Mobile,iOS,17.5,New York,NY,USA,176,0,0,2024-10-12 02:44:32
35,U0106,42,USA,Premium,T00041,Track A011-1,Artist 11,Album A011-1,2023,Pop,Dance Pop,Desktop,Windows,10,Chicago,IL,USA,117,0,0,2024-10-15 12:39:27
36,U0147,58,Germany,Premium Family,T00009,Track A003-1,Artist 3,Album A003-1,2022,Pop,Dance Pop,Tablet,iOS,17.1,Munich,BY,Germany,51,0,0,2024-10-28 08:16:54
37,U0451,37,Germany,Free,T00045,Track A012-1,Artist 12,Album A012-1,2021,Pop,Dance Pop,Smart Speaker,Alexa,5.3,Munich,BY,Germany,219,1,0,2024-10-11 08:13:39
38,U0422,55,Japan,Premium,T00079,Track A020-3,Artist 20,Album A020-2,2020,Bollywood,Dance,Smart Speaker,Alexa,5.3,Osaka,OS,Japan,274,1,0,2024-10-22 11:24:52
39,U0103,27,Brazil,Premium,T00018,Track A005-2,Artist 5,Album A005-1,2021,Bollywood,Dance,Mobile,iOS,17.5,Rio de Janeiro,RJ,Brazil,240,1,0,2024-10-29 14:54:12
40,U0440,47,USA,Free,T00041,Track A011-1,Artist 11,Album A011-1,2023,Pop,Dance Pop,Mobile,Android,12,San Francisco,CA,USA,154,0,0,2024-10-13 00:41:31
41,U0567,29,Germany,Premium,T00077,Track A020-1,Artist 20,Album A020-1,2024,Bollywood,Dance,Tablet,iOS,17.1,Hamburg,HH,Germany,156,0,2,2024-10-30 11:53:50
42,U0028,38,UK,Free,T00085,Track A022-1,Artist 22,Album A022-1,2022,Bollywood,Dance,Desktop,Windows,10,London,ENG,UK,200,1,0,2024-10-10 23:21:41
43,U0194,35,Japan,Premium,T00096,Track A024-4,Artist 24,Album A024-2,2024,K-Pop,Pop,Desktop,macOS,13.5,Tokyo,TK,Japan,223,1,0,2024-10-15 08:19:53
44,U0246,54,Brazil,Premium Family,T00064,Track A016-4,Artist 16,Album A016-2,2021,Latin Pop,Reggaeton,Desktop,macOS,13.5,São Paulo,SP,Brazil,146,0,2,2024-10-06 11:21:21
45,U0073,46,India,Free,T00068,Track A017-4,Artist 17,Album A017-2,2018,Pop,Dance Pop,Mobile,iOS,17.5,Bengaluru,KA,India,300,1,0,2024-10-18 12:42:35
46,U0397,32,Germany,Premium,T00073,Track A019-1,Artist 19,Album A019-1,2017,Hip-Hop,Pop Rap,Desktop,macOS,13.5,Berlin,BE,Germany,205,1,0,2024-10-18 17:44:10
47,U0483,50,Germany,Free,T00010,Track A003-2,Artist 3,Album A003-1,2017,Pop,Dance Pop,Mobile,iOS,17.5,Berlin,BE,Germany,91,0,0,2024-10-29 12:19:41
48,U0041,43,Brazil,Premium,T00008,Track A002-4,Artist 2,Album A002-2,2018,Bollywood,Dance,Desktop,macOS,13.5,Rio de Janeiro,RJ,Brazil,156,0,2,2024-10-25 14:14:38
49,U0426,23,UK,Premium,T00055,Track A014-3,Artist 14,Album A014-2,2018,Hip-Hop,Pop Rap,Smart Speaker,Alexa,5.3,Manchester,ENG,UK,98,0,2,2024-10-20 12:41:13
50,U0157,48,Japan,Premium,T00036,Track A009-4,Artist 9,Album A009-2,2023,K-Pop,Pop,Mobile,iOS,17.5,Osaka,OS,Japan,96,0,0,2024-10-16 01:04:03
51,U0160,20,Japan,Free,T00069,Track A018-1,Artist 18,Album A018-1,2017,Latin Pop,Reggaeton,Desktop,Windows,10,Tokyo,TK,Japan,212,1,0,2024-10-19 23:14:06
52,U0068,36,UK,Student,T00040,Track A010-4,Artist 10,Album A010-2,2019,Pop,Dance Pop,Smart Speaker,Alexa,5.3,Manchester,ENG,UK,240,1,0,2024-10-22 05:42:29
53,U0245,52,USA,Free,T00008,Track A002-4,Artist 2,Album A002-2,2018,Bollywood,Dance,Mobile,Android,12,Austin,TX,USA,296,1,0,2024-10-05 04:26:42
54,U0465,45,Brazil,Free,T00079,Track A020-3,Artist 20,Album A020-2,2020,Bollywood,Dance,Tablet,iOS,17.1,São Paulo,SP,Brazil,161,0,2,2024-10-03 16:06:46
55,U0180,55,Canada,Student,T00016,Track A004-4,Artist 4,Album A004-2,2018,Bollywood,Dance,Mobile,iOS,17.5,Toronto,ON,Canada,234,1,0,2024-10-07 15:51:47
56,U0509,40,UK,Premium,T00045,Track A012-1,Artist 12,Album A012-1,2021,Pop,Dance Pop,Tablet,iOS,17.1,London,ENG,UK,252,1,0,2024-10-26 02:36:29
57,U0266,34,Japan,Free,T00022,Track A006-2,Artist 6,Album A006-1,2018,Latin Pop,Reggaeton,Desktop,Windows,10,Osaka,OS,Japan,245,1,0,2024-10-07 03:53:05
58,U0276,52,Germany,Premium,T00094,Track A024-2,Artist 24,Album A024-1,2020,K-Pop,Pop,Mobile,iOS,17.5,Munich,BY,Germany,167,0,1,2024-10-02 10:12:09
59,U0537,40,Japan,Premium,T00009,Track A003-1,Artist 3,Album A003-1,2022,Pop,Dance Pop,Desktop,Windows,10,Osaka,OS,Japan,219,1,0,2024-10-28 23:50:52
60,U0467,17,Brazil,Premium,T00066,Track A017-2,Artist 17,Album A017-1,2024,Pop,Dance Pop,Desktop,Windows,10,Rio de Janeiro,RJ,Brazil,197,1,0,2024-10-03 16:35:28
61,U0171,32,USA,Free,T00048,Track A012-4,Artist 12,Album A012-2,2024,Pop,Dance Pop,Mobile,Android,12,San Francisco,CA,USA,250,1,0,2024-10-13 09:13:54
62,U0588,27,Japan,Premium,T00087,Track A022-3,Artist 22,Album A022-2,2020,Bollywood,Dance,Smart Speaker,Alexa,5.3,Tokyo,TK,Japan,143,0,0,2024-10-06 14:22:24
63,U0046,48,Japan,Free,T00002,Track A001-2,Artist 1,Album A001-1,2021,Hip-Hop,Pop Rap,Mobile,Android,12,Osaka,OS,Japan,192,1,0,2024-10-03 05:34:20
64,U0154,26,India,Free,T00023,Track A006-3,Artist 6,Album A006-2,2020,Latin Pop,Reggaeton,Mobile,iOS,17.5,Mumbai,MH,India,258,1,0,2024-10-27 20:08:02
65,U0430,50,Canada,Free,T00029,Track A008-1,Artist 8,Album A008-1,2021,Latin Pop,Reggaeton,Desktop,Windows,10,Toronto,ON,Canada,182,0,1,2024-10-13 01:14:51
66,U0278,44,USA,Premium,T00010,Track A003-2,Artist 3,Album A003-1,2017,Pop,Dance Pop,Tablet,iOS,17.1,San Francisco,CA,USA,111,0,0,2024-10-19 02:21:10
67,U0184,20,India,Premium,T00029,Track A008-1,Artist 8,Album A008-1,2021,Latin Pop,Reggaeton,Tablet,iOS,17.1,Mumbai,MH,India,310,1,0,2024-10-03 05:30:38
68,U0477,50,Japan,Premium,T00037,Track A010-1,Artist 10,Album A010-1,2020,Pop,Dance Pop,Desktop,Windows,10,Osaka,OS,Japan,99,0,0,2024-10-16 21:19:59
69,U0378,18,UK,Student,T00026,Track A007-2,Artist 7,Album A007-1,2022,Pop,Dance Pop,Desktop,Windows,10,Edinburgh,SCT,UK,253,1,0,2024-10-28 08:52:56
70,U0249,41,India,Free,T00060,Track A015-4,Artist 15,Album A015-2,2019,Latin Pop,Reggaeton,Desktop,Windows,10,Hyderabad,TG,India,321,1,0,2024-10-29 17:22:11
71,U0201,51,Japan,Premium,T00094,Track A024-2,Artist 24,Album A024-1,2020,K-Pop,Pop,Tablet,iOS,17.1,Osaka,OS,Japan,121,0,1,2024-10-12 21:35:36
72,U0025,20,USA,Premium Family,T00030,Track A008-2,Artist 8,Album A008-1,2020,Latin Pop,Reggaeton,Tablet,iOS,17.1,New York,NY,USA,221,1,0,2024-10-17 19:36:46
73,U0010,58,UK,Premium,T00043,Track A011-3,Artist 11,Album A011-2,2024,Pop,Dance Pop,Mobile,iOS,17.5,London,ENG,UK,270,1,0,2024-10-19 06:23:31
74,U0315,48,USA,Premium,T00014,Track A004-2,Artist 4,Album A004-1,2018,Bollywood,Dance,Mobile,Android,12,San Francisco,CA,USA,330,1,0,2024-10-26 17:16:43
75,U0504,39,UK,Premium,T00008,Track A002-4,Artist 2,Album A002-2,2018,Bollywood,Dance,Mobile,Android,12,Manchester,ENG,UK,102,0,0,2024-10-14 14:01:12
76,U0533,50,Japan,Premium,T00053,Track A014-1,Artist 14,Album A014-1,2017,Hip-Hop,Pop Rap,Smart Speaker,Alexa,5.3,Osaka,OS,Japan,190,0,0,2024-10-19 01:59:04
77,U0595,38,USA,Student,T00013,Track A004-1,Artist 4,Album A004-1,2022,Bollywood,Dance,Tablet,iOS,17.1,Austin,TX,USA,221,1,0,2024-10-07 11:33:17
78,U0077,26,Japan,Student,T00076,Track A019-4,Artist 19,Album A019-2,2020,Hip-Hop,Pop Rap,Tablet,iOS,17.1,Osaka,OS,Japan,186,1,0,2024-10-04 00:33:53
79,U0243,29,India,Free,T00038,Track A010-2,Artist 10,Album A010-1,2024,Pop,Dance Pop,Desktop,Windows,10,Hyderabad,TG,India,297,1,0,2024-10-16 07:00:43
80,U0335,24,Japan,Free,T00041,Track A011-1,Artist 11,Album A011-1,2023,Pop,Dance Pop,Desktop,macOS,13.5,Tokyo,TK,Japan,144,0,0,2024-10-14 04:51:05
81,U0140,36,Germany,Premium,T00075,Track A019-3,Artist 19,Album A019-2,2021,Hip-Hop,Pop Rap,Mobile,iOS,17.5,Hamburg,HH,Germany,106,0,1,2024-10-08 13:03:59
82,U0322,19,UK,Free,T00053,Track A014-1,Artist 14,Album A014-1,2017,Hip-Hop,Pop Rap,Mobile,iOS,17.5,London,ENG,UK,171,0,0,2024-10-27 00:23:50
83,U0463,44,UK,Free,T00040,Track A010-4,Artist 10,Album A010-2,2019,Pop,Dance Pop,Desktop,macOS,13.5,Edinburgh,SCT,UK,271,1,0,2024-10-13 20:45:23
84,U0162,53,Japan,Premium,T00088,Track A022-4,Artist 22,Album A022-2,2019,Bollywood,Dance,Desktop,Windows,10,Osaka,OS,Japan,77,0,1,2024-10-30 06:53:54
85,U0152,33,USA,Premium,T00012,Track A003-4,Artist 3,Album A003-2,2018,Pop,Dance Pop,Smart Speaker,Alexa,5.3,Chicago,IL,USA,319,1,0,2024-10-13 01:11:45
86,U0526,21,UK,Premium,T00007,Track A002-3,Artist 2,Album A002-2,2018,Bollywood,Dance,Smart Speaker,Alexa,5.3,Edinburgh,SCT,UK,150,0,0,2024-10-15 12:10:28
87,U0415,25,Brazil,Student,T00058,Track A015-2,Artist 15,Album A015-1,2018,Latin Pop,Reggaeton,Tablet,iOS,17.1,Rio de Janeiro,RJ,Brazil,148,0,0,2024-10-27 16:56:14
88,U0144,53,UK,Premium,T00016,Track A004-4,Artist 4,Album A004-2,2018,Bollywood,Dance,Mobile,iOS,17.5,London,ENG,UK,265,1,0,2024-10-03 23:50:59
89,U0134,28,India,Premium,T00026,Track A007-2,Artist 7,Album A007-1,2022,Pop,Dance Pop,Desktop,macOS,13.5,Hyderabad,TG,India,231,1,0,2024-10-19 01:41:26
90,U0087,45,USA,Premium,T00075,Track A019-3,Artist 19,Album A019-2,2021,Hip-Hop,Pop Rap,Tablet,iOS,17.1,Chicago,IL,USA,293,1,0,2024-10-13 13:32:52
91,U0023,56,Brazil,Premium Family,T00009,Track A003-1,Artist 3,Album A003-1,2022,Pop,Dance Pop,Mobile,Android,12,São Paulo,SP,Brazil,259,1,0,2024-10-22 12:38:05
92,U0340,39,UK,Premium,T00016,Track A004-4,Artist 4,Album A004-2,2018,Bollywood,Dance,Mobile,iOS,17.5,London,ENG,UK,83,0,2,2024-10-23 09:05:52
93,U0444,33,Brazil,Free,T00093,Track A024-1,Artist 24,Album A024-1,2017,K-Pop,Pop,Desktop,macOS,13.5,Rio de Janeiro,RJ,Brazil,70,0,1,2024-10-25 02:01:44
94,U0177,36,USA,Premium,T00046,Track A012-2,Artist 12,Album A012-1,2018,Pop,Dance Pop,Mobile,Android,12,New York,NY,USA,154,0,0,2024-10-10 02:02:48
95,U0036,58,Canada,Free,T00079,Track A020-3,Artist 20,Album A020-2,2020,Bollywood,Dance,Tablet,iOS,17.1,Toronto,ON,Canada,147,0,1,2024-10-30 22:49:49
96,U0422,55,Japan,Premium,T00071,Track A018-3,Artist 18,Album A018-2,2018,Latin Pop,Reggaeton,Desktop,macOS,13.5,Osaka,OS,Japan,100,0,0,2024-10-03 23:02:44
97,U0430,50,Canada,Free,T00026,Track A007-2,Artist 7,Album A007-1,2022,Pop,Dance Pop,Smart Speaker,Alexa,5.3,Toronto,ON,Canada,148,0,2,2024-10-26 12:37:04
98,U0020,29,Japan,Premium,T00049,Track A013-1,Artist 13,Album A013-1,2021,Hip-Hop,Pop Rap,Smart Speaker,Alexa,5.3,Osaka,OS,Japan,194,0,1,2024-10-18 10:23:45
99,U0353,59,USA,Premium,T00073,Track A019-1,Artist 19,Album A019-1,2017,Hip-Hop,Pop Rap,Tablet,iOS,17.1,Chicago,IL,USA,177,1,0,2024-10-16 14:41:46
100,U0027,43,India,Free,T00041,Track A011-1,Artist 11,Album A011-1,2023,Pop,Dance Pop,Tablet,iOS,17.1,Mumbai,MH,India,70,0,1,2024-10-11 15:10:37
101,U0060,43,Brazil,Free,T00061,Track A016-1,Artist 16,Album A016-1,2024,Latin Pop,Reggaeton,Tablet,iOS,17.1,São Paulo,SP,Brazil,249,1,0,2024-10-18 08:26:22
102,U0164,50,UK,Premium,T00013,Track A004-1,Artist 4,Album A004-1,2022,Bollywood,Dance,Mobile,Android,12,Edinburgh,SCT,UK,152,0,2,2024-10-12 16:57:48
103,U0058,60,India,Premium,T00029,Track A008-1,Artist 8,Album A008-1,2021,Latin Pop,Reggaeton,Tablet,iOS,17.1,Mumbai,MH,India,171,0,0,2024-10-19 20:32:42
104,U0181,47,Japan,Premium Family,T00031,Track A008-3,Artist 8,Album A008-2,2020,Latin Pop,Reggaeton,Tablet,iOS,17.1,Tokyo,TK,Japan,258,1,0,2024-10-16 10:30:06
105,U0368,24,Brazil,Premium Family,T00076,Track A019-4,Artist 19,Album A019-2,2020,Hip-Hop,Pop Rap,Mobile,iOS,17.5,São Paulo,SP,Brazil,307,1,0,2024-10-18 01:44:21
106,U0146,26,Japan,Free,T00073,Track A019-1,Artist 19,Album A019-1,2017,Hip-Hop,Pop Rap,Mobile,Android,12,Tokyo,TK,Japan,204,1,0,2024-10-24 21:29:08
107,U0503,45,UK,Premium,T00005,Track A002-1,Artist 2,Album A002-1,2019,Bollywood,Dance,Mobile,iOS,17.5,Manchester,ENG,UK,144,0,0,2024-10-03 17:26:25
108,U0540,55,UK,Premium Family,T00062,Track A016-2,Artist 16,Album A016-1,2021,Latin Pop,Reggaeton,Mobile,iOS,17.5,Edinburgh,SCT,UK,294,1,0,2024-10-17 02:29:53
109,U0134,28,India,Premium,T00044,Track A011-4,Artist 11,Album A011-2,2017,Pop,Dance Pop,Smart Speaker,Alexa,5.3,Hyderabad,TG,India,294,1,0,2024-10-09 14:45:20
110,U0332,53,Japan,Premium,T00008,Track A002-4,Artist 2,Album A002-2,2018,Bollywood,Dance,Mobile,iOS,17.5,Tokyo,TK,Japan,212,0,0,2024-10-08 04:05:49
111,U0114,29,Canada,Premium,T00068,Track A017-4,Artist 17,Album A017-2,2018,Pop,Dance Pop,Desktop,Windows,10,Toronto,ON,Canada,174,0,2,2024-10-04 12:30:19
112,U0406,36,India,Premium Family,T00076,Track A019-4,Artist 19,Album A019-2,2020,Hip-Hop,Pop Rap,Mobile,iOS,17.5,Mumbai,MH,India,160,0,0,2024-10-17 08:07:19
113,U0448,48,Germany,Free,T00082,Track A021-2,Artist 21,Album A021-1,2023,Bollywood,Dance,Desktop,macOS,13.5,Munich,BY,Germany,128,0,2,2024-10-16 09:39:43
114,U0366,21,Canada,Free,T00029,Track A008-1,Artist 8,Album A008-1,2021,Latin Pop,Reggaeton,Smart Speaker,Alexa,5.3,Montreal,QC,Canada,261,1,0,2024-10-29 14:10:35
115,U0315,48,USA,Premium,T00094,Track A024-2,Artist 24,Album A024-1,2020,K-Pop,Pop,Smart Speaker,Alexa,5.3,San Francisco,CA,USA,114,0,0,2024-10-15 07:08:14
116,U0587,45,India,Free,T00051,Track A013-3,Artist 13,Album A013-2,2020,Hip-Hop,Pop Rap,Tablet,iOS,17.1,Bengaluru,KA,India,131,0,2,2024-10-02 13:43:43
117,U0227,45,USA,Premium,T00082,Track A021-2,Artist 21,Album A021-1,2023,Bollywood,Dance,Tablet,iOS,17.1,Austin,TX,USA,302,1,0,2024-10-06 01:17:49
118,U0340,39,UK,Premium,T00096,Track A024-4,Artist 24,Album A024-2,2024,K-Pop,Pop,Mobile,iOS,17.5,London,ENG,UK,169,0,0,2024-10-12 13:17:07
119,U0091,28,Germany,Free,T00091,Track A023-3,Artist 23,Album A023-2,2018,Latin Pop,Reggaeton,Smart Speaker,Alexa,5.3,Hamburg,HH,Germany,188,1,0,2024-10-17 07:10:35
120,U0215,41,UK,Free,T00032,Track A008-4,Artist 8,Album A008-2,2023,Latin Pop,Reggaeton,Smart Speaker,Alexa,5.3,London,ENG,UK,170,0,0,2024-10-04 06:59:11
121,U0002,45,Germany,Free,T00007,Track A002-3,Artist 2,Album A002-2,2018,Bollywood,Dance,Desktop,macOS,13.5,Munich,BY,Germany,241,1,0,2024-10-22 06:33:48
122,U0424,29,Brazil,Premium,T00064,Track A016-4,Artist 16,Album A016-2,2021,Latin Pop,Reggaeton,Desktop,macOS,13.5,Rio de Janeiro,RJ,Brazil,205,1,0,2024-10-18 01:12:50
123,U0491,35,Germany,Premium,T00074,Track A019-2,Artist 19,Album A019-1,2018,Hip-Hop,Pop Rap,Smart Speaker,Alexa,5.3,Berlin,BE,Germany,125,0,0,2024-10-11 22:49:22
124,U0302,54,Brazil,Premium,T00003,Track A001-3,Artist 1,Album A001-2,2019,Hip-Hop,Pop Rap,Desktop,Windows,10,São Paulo,SP,Brazil,309,1,0,2024-10-13 16:14:08
125,U0351,18,Japan,Free,T00022,Track A006-2,Artist 6,Album A006-1,2018,Latin Pop,Reggaeton,Desktop,macOS,13.5,Osaka,OS,Japan,241,1,0,2024-10-08 19:28:02
126,U0096,39,USA,Premium,T00044,Track A011-4,Artist 11,Album A011-2,2017,Pop,Dance Pop,Tablet,iOS,17.1,San Francisco,CA,USA,284,1,0,2024-10-30 18:56:52
127,U0032,37,Canada,Premium,T00056,Track A014-4,Artist 14,Album A014-2,2021,Hip-Hop,Pop Rap,Smart Speaker,Alexa,5.3,Montreal,QC,Canada,216,1,0,2024-10-09 00:14:08
128,U0161,33,UK,Student,T00007,Track A002-3,Artist 2,Album A002-2,2018,Bollywood,Dance,Mobile,iOS,17.5,Edinburgh,SCT,UK,137,0,1,2024-10-17 01:45:11
129,U0568,42,Brazil,Premium,T00093,Track A024-1,Artist 24,Album A024-1,2017,K-Pop,Pop,Smart Speaker,Alexa,5.3,São Paulo,SP,Brazil,151,0,1,2024-10-27 05:17:30
130,U0244,38,Canada,Student,T00013,Track A004-1,Artist 4,Album A004-1,2022,Bollywood,Dance,Mobile,iOS,17.5,Toronto,ON,Canada,209,0,1,2024-10-20 01:45:51
131,U0158,46,Brazil,Free,T00007,Track A002-3,Artist 2,Album A002-2,2018,Bollywood,Dance,Desktop,Windows,10,Rio de Janeiro,RJ,Brazil,184,1,0,2024-10-01 04:26:43
132,U0492,31,India,Student,T00026,Track A007-2,Artist 7,Album A007-1,2022,Pop,Dance Pop,Mobile,iOS,17.5,Bengaluru,KA,India,137,0,1,2024-10-02 05:59:03
133,U0084,20,Canada,Premium,T00061,Track A016-1,Artist 16,Album A016-1,2024,Latin Pop,Reggaeton,Mobile,iOS,17.5,Montreal,QC,Canada,253,1,0,2024-10-15 23:15:27
134,U0501,31,USA,Premium,T00085,Track A022-1,Artist 22,Album A022-1,2022,Bollywood,Dance,Desktop,Windows,10,San Francisco,CA,USA,222,1,0,2024-10-05 10:10:55
135,U0190,54,Brazil,Premium,T00048,Track A012-4,Artist 12,Album A012-2,2024,Pop,Dance Pop,Desktop,macOS,13.5,São Paulo,SP,Brazil,132,0,1,2024-10-18 22:23:02
136,U0451,37,Germany,Free,T00060,Track A015-4,Artist 15,Album A015-2,2019,Latin Pop,Reggaeton,Desktop,Windows,10,Munich,BY,Germany,267,1,0,2024-10-11 23:35:28
137,U0064,51,India,Premium,T00020,Track A005-4,Artist 5,Album A005-2,2022,Bollywood,Dance,Smart Speaker,Alexa,5.3,Bengaluru,KA,India,99,0,2,2024-10-05 16:40:00
138,U0424,29,Brazil,Premium,T00076,Track A019-4,Artist 19,Album A019-2,2020,Hip-Hop,Pop Rap,Mobile,Android,12,Rio de Janeiro,RJ,Brazil,88,0,2,2024-10-27 20:59:34
139,U0429,57,UK,Free,T00069,Track A018-1,Artist 18,Album A018-1,2017,Latin Pop,Reggaeton,Smart Speaker,Alexa,5.3,Manchester,ENG,UK,209,1,0,2024-10-24 01:12:37
140,U0488,27,India,Premium,T00039,Track A010-3,Artist 10,Album A010-2,2017,Pop,Dance Pop,Mobile,iOS,17.5,Hyderabad,TG,India,288,1,0,2024-10-20 03:58:49
